South Carolina	WTA	855373	40.67%	–	1155389	54.94%	9	49204	2.34%	–	13034	0.62%	–	21016	1.00%	–	9011	0.43%	–	300016	14.27%	2103027	SC
South Dakota	WTA	117458	31.74%	–	227721	61.53%	3	20850	5.63%	–	–	–	–	–	–	–	4064	1.10%	–	110263	29.79%	370093	SD
Tennessee	WTA	870695	34.72%	–	1522925	60.72%	11	70397	2.81%	–	15993	0.64%	–	11991	0.48%	–	16026	0.64%	–	652230	26.01%	2508027	TN
Texas	WTA	3877868	43.24%	–	4685047	52.23%	36	283492	3.16%	–	71558	0.80%	–	42366	0.47%	–	8895	0.10%	2	807179	8.99%	8969226	TX
Utah	WTA	310676	27.46%	–	515231	45.54%	6	39608	3.50%	–	9438	0.83%	–	243690	21.54%	–	12787	1.13%	–	204555	18.08%	1131430	UT
Vermont	WTA	178573	56.68%	3	95369	30.27%	–	10078	3.20%	–	6758	2.14%	–	639	0.20%	–	23650	7.51%	–	−83,204	−26.41%	315067	VT
Virginia	WTA	1981473	49.73%	13	1769443	44.41%	–	118274	2.97%	–	27638	0.69%	–	54054	1.36%	–	33749	0.85%	–	−212,030	−5.32%	3984631	VA
Washington	WTA	1742718	52.54%	8	1221747	36.83%	–	160879	4.85%	–	58417	1.76%	–	–	–	–	133258	4.02%	4	−520,971	−15.71%	3317019	WA
West Virginia	WTA	188794	26.43%	–	489371	68.50%	5	23004	3.22%	–	8075	1.13%	–	1104	0.15%	–	4075	0.57%	–	300577	42.07%	714423	WV
Wisconsin	WTA	1382536	46.45%	–	1405284	47.22%	10	106674	3.58%	–	31072	1.04%	–	11855	0.40%	–	38729	1.30%	–	22748	0.77%	2976150	WI
Wyoming	WTA	55973	21.63%	–	174419	67.40%	3	13287	5.13%	–	2515	0.97%	–	–	–	–	9655	3.73%	–	118446	46.30%	255849	WY
U.S. Total	–	65853514	48.18%	227	62984828	46.09%	304	4489341	3.28%	–	1457218	1.07%	–	731991	0.54%	–	1154084	0.84%	7	−2,868,686	−2.10%	136669276	US
