Minnesota	11	195,843	59.11	11	109,401	33.02	-	14,527	4.38	-	11,107	3.35	-	426	0.13	-	-	-	-	-	-	-	86,442	26.09	331,304	MN
Mississippi	10	4,363	6.52	-	60,287	90.11	10	978	1.46	-	-	-	-	-	-	-	1,276	1.91	-	-	-	-	-55,924	-83.59	66,904	MS
Missouri	18	347,203	48.50	18	346,574	48.41	-	15,431	2.16	-	4,284	0.60	-	402	0.06	-	1,165	0.16	-	868	0.12	-	629	0.09	715,927	MO
Montana	3	32,333	46.98	3	29,326	42.61	-	5,855	8.51	-	827	1.20	-	481	0.70	-	-	-	-	-	-	-	3,007	4.37	68,822	MT
Nebraska	8	126,997	47.60	-	131,099	49.14	8	3,524	1.32	-	5,179	1.94	-	-	-	-	-	-	-	-	-	-	-4,102	-1.54	266,799	NE
Nevada	3	10,775	43.93	-	11,212	45.71	3	2,103	8.57	-	-	-	-	436	1.78	-	-	-	-	-	-	-	-437	-1.78	24,526	NV
New Hampshire	4	53,149	59.32	4	33,655	37.56	-	1,299	1.45	-	905	1.01	-	584	0.65	-	-	-	-	-	-	-	19,494	21.76	89,600	NH
New Jersey	12	265,298	56.80	12	182,522	39.07	-	10,249	2.19	-	4,930	1.06	-	2,916	0.62	-	-	-	-	1,196	0.26	-	82,776	17.72	467,111	NJ
New York	39	870,070	53.11	39	667,468	40.74	-	38,451	2.35	-	22,667	1.38	-	35,817	2.19	-	-	-	-	3,877	0.24	-	202,602	12.37	1,638,350	NY
North Carolina	12	114,887	45.49	-	136,928	54.22	12	372	0.15	-	354	0.14	-	-	-	-	-	-	-	-	-	-	-22,041	-8.73	252,554	NC
North Dakota	4	57,680	61.02	4	32,885	34.79	-	2,421	2.56	-	1,496	1.58	-	43	0.05	-	-	-	-	-	-	-	24,795	26.23	94,525	ND
Ohio	23	572,312	51.03	23	502,721	44.82	-	33,795	3.01	-	11,402	1.02	-	439	0.04	-	162	0.01	-	721	0.06	-	69,591	6.20	1,121,552	OH
Oklahoma	7	110,550	43.03	-	123,907	48.22	7	21,752	8.47	-	-	-	-	274	0.11	-	412	0.17	-	-	-	-	-11,889	-4.66	256,917	OK
Oregon	4	62,530	56.39	4	38,049	34.31	-	7,339	6.62	-	2,682	2.42	-	289	0.26	-	-	-	-	274	0.11	-	24,481	22.08	110,889	OR
Pennsylvania	34	745,779	58.84	34	448,782	35.41	-	33,914	2.68	-	36,694	2.90	-	1,057	0.08	-	-	-	-	1,224	0.10	-	296,997	23.43	1,267,450	PA
Rhode Island	4	43,942	60.76	4	24,706	34.16	-	1,365	1.89	-	1,016	1.40	-	1,105	1.53	-	-	-	-	183	0.25	-	19,236	26.60	72,317	RI
South Carolina	9	3,945	5.94	-	62,288	93.84	9	100	0.15	-	-	-	-	46	0.07	-	-	-	-	-	-	-	-58,343	-87.89	66,379	SC
South Dakota	4	67,536	58.84	4	40,266	35.08	-	2,846	2.48	-	4,039	3.52	-	88	0.08	-	-	-	-	-	-	-	27,270	23.76	114,775	SD
Tennessee	12	117,977	45.87	-	135,608	52.73	12	1,870	0.73	-	301	0.12	-	332	0.13	-	1,092	0.42	-	-	-	-	-17,631	-6.86	257,180	TN
Texas	18	65,666	22.35	-	217,302	73.97	18	7,870	2.68	-	1,634	0.56	-	115	0.04	-	994	0.34	-	176	0.06	-	-151,636	-51.62	293,757	TX
Utah	3	61,028	56.19	3	42,601	39.22	-	4,895	4.51	-	-	-	-	87	0.08	-	-	-	-	-	-	-	18,427	16.97	108,613	UT
Vermont	4	39,552	75.08	4	11,496	21.82	-	-	-	-	799	1.52	-	804	1.53	-	-	-	-	-	-	-	28,056	53.26	52,680	VT
Virginia	12	52,572	38.36	-	82,946	60.52	12	255	0.19	-	1,111	0.81	-	51	0.04	-	105	0.08	-	25	0.02	-	-30,374	-22.16	137,065	VA
Washington	5	106,062	57.68	5	58,691	31.92	-	14,177	7.71	-	4,700	2.56	-	249	0.14	-	-	-	-	-	-	-	47,371	25.76	183,879	WA
West Virginia	7	137,869	53.42	7	111,418	43.17	-	3,679	1.43	-	5,139	1.99	-	-	-	-	-	-	-	-	-	-	26,451	10.25	258,105	WV
Wisconsin	13	247,747	54.52	13	166,662	36.67	-	28,147	6.19	-	11,565	2.54	-	-	-	-	-	-	-	318	0.07	-	81,085	17.84	454,441	WI
Wyoming	3	20,846	55.43	3	14,918	39.67	-	1,715	4.56	-	66	0.18	-	64	0.17	-	-	-	-	-	-	-	5,928	15.76	37,609	WY
TOTALS:	483	7,678,335	51.57	321	6,408,979	43.04	162	420,852	2.83	-	254,087	1.71	-	82,574	0.55	-	28,862	0.19	-	14,031	0.09	-	1,269,356	8.53	14,889,239	US
