Georgia	15	1844123	46.99%	-0	2048759	52.20%	15	1158	0.03%	-0	28731	0.73%	-0	1402	0.04%	-0	250	0.01%	-0	63	0.00%	-0	-204636	-5.21%	3924486	GA
Hawaii	4	325871	71.85%	4	120566	26.58%	-0	3825	0.84%	-0	1314	0.29%	-0	1013	0.22%	-0	979	0.22%	-0	0	0.00%	-0	205305	45.26%	453568	HI
Idaho	4	236440	36.09%	-0	403012	61.52%	4	7175	1.10%	-0	3658	0.56%	-0	4747	0.72%	-0	39	0.01%	-0	51	0.01%	-0	-166572	-25.43%	655122	ID
Illinois	21	3419348	61.92%	21	2031179	36.78%	-0	30948	0.56%	-0	19642	0.36%	-0	8256	0.15%	-0	11838	0.21%	-0	1160	0.02%	-0	1388169	25.14%	5522371	IL
Indiana	11	1374039	49.95%	11	1345648	48.91%	-0	909	0.03%	-0	29257	1.06%	-0	1024	0.04%	-0	87	0.00%	-0	90	0.00%	-0	28391	1.03%	2751054	IN
Iowa	7	828940	53.93%	7	682379	44.39%	-0	8014	0.52%	-0	4590	0.30%	-0	4445	0.29%	-0	1423	0.09%	-0	7332	0.48%	-0	146561	9.53%	1537123	IA
Kansas	6	514765	41.65%	-0	699655	56.61%	6	10527	0.85%	-0	6706	0.54%	-0	4148	0.34%	-0	35	0.00%	-0	36	0.00%	-0	-184890	-14.96%	1235872	KS
Kentucky	8	751985	41.17%	-0	1048462	57.40%	8	15378	0.84%	-0	5989	0.33%	-0	4694	0.26%	-0	0	0.00%	-0	112	0.01%	-0	-296477	-16.23%	1826620	KY
Louisiana	9	782989	39.93%	-0	1148275	58.56%	9	6997	0.36%	-0	0	0.00%	-0	2581	0.13%	-0	9187	0.47%	-0	10732	0.55%	-0	-365286	-18.63%	1960761	LA
Maine	4	421923	57.71%	4	295273	40.38%	-0	10636	1.45%	-0	251	0.03%	-0	177	0.02%	-0	2900	0.40%	-0	3	0.00%	-0	126650	17.32%	731163	ME
Maryland	10	1629467	61.92%	10	959862	36.47%	-0	14713	0.56%	-0	9842	0.37%	-0	3760	0.14%	-0	4747	0.18%	-0	9205	0.35%	-0	669605	25.44%	2631596	MD
Massachusetts	12	1904097	61.80%	12	1108854	35.99%	-0	28841	0.94%	-0	13189	0.43%	-0	4971	0.16%	-0	6550	0.21%	-0	14483	0.47%	-0	795243	25.81%	3080985	MA
Michigan	17	2872579	57.43%	17	2048639	40.96%	-0	33085	0.66%	-0	23716	0.47%	-0	14685	0.29%	-0	8892	0.18%	-0	170	0.00%	-0	823940	16.47%	5001766	MI
Minnesota	10	1573354	54.06%	10	1275409	43.82%	-0	30152	1.04%	-0	9174	0.32%	-0	6787	0.23%	-0	5174	0.18%	-0	10319	0.35%	-0	297945	10.24%	2910369	MN
Mississippi	6	554662	43.00%	-0	724597	56.18%	6	4011	0.31%	-0	2529	0.20%	-0	2551	0.20%	-0	1034	0.08%	-0	481	0.04%	-0	-169935	-13.17%	1289865	MS
Missouri	11	1441911	49.29%	-0	1445814	49.43%	11	17813	0.61%	-0	11386	0.39%	-0	8201	0.28%	-0	80	0.00%	-0	0	0.00%	-0	-3903	-0.13%	2925205	MO
Montana	3	231667	47.25%	-0	242763	49.51%	3	3686	0.75%	-0	1355	0.28%	-0	143	0.03%	-0	23	0.00%	-0	10665	2.18%	-0	-11096	-2.26%	490302	MT
Nebraska	5	333319	41.60%	1	452979	56.53%	4	5406	0.67%	-0	2740	0.34%	-0	2972	0.37%	-0	1028	0.13%	-0	2837	0.35%	-0	-119660	-14.93%	801281	NE
Nevada	5	533736	55.15%	5	412827	42.65%	-0	6150	0.64%	-0	4263	0.44%	-0	3194	0.33%	-0	1411	0.15%	-0	6267	0.65%	-0	120909	12.49%	967848	NV
New Hampshire	4	384826	54.13%	4	316534	44.52%	-0	3503	0.49%	-0	2217	0.31%	-0	226	0.03%	-0	40	0.01%	-0	3624	0.51%	-0	68292	9.61%	710970	NH
New Jersey	15	2215422	57.27%	15	1613207	41.70%	-0	21298	0.55%	-0	8441	0.22%	-0	3956	0.10%	-0	3636	0.09%	-0	2277	0.06%	-0	602215	15.57%	3868237	NJ
New Mexico	5	472422	56.91%	5	346832	41.78%	-0	5327	0.64%	-0	2428	0.29%	-0	1597	0.19%	-0	1552	0.19%	-0	0	0.00%	-0	125590	15.13%	830158	NM
New York	31	4804945	62.88%	31	2752771	36.03%	-0	41249	0.54%	-0	19596	0.26%	-0	634	0.01%	-0	12801	0.17%	-0	8935	0.12%	-0	2052174	26.86%	7640931	NY
North Carolina	15	2142651	49.70%	15	2128474	49.38%	-0	1448	0.03%	-0	25722	0.60%	-0	0	0.00%	-0	158	0.00%	-0	12336	0.29%	-0	14177	0.33%	4310789	NC
North Dakota	3	141278	44.62%	-0	168601	53.25%	3	4189	1.32%	-0	1354	0.43%	-0	1199	0.38%	-0	0	0.00%	-0	0	0.00%	-0	-27323	-8.63%	316621	ND
Ohio	20	2940044	51.50%	20	2677820	46.91%	-0	42337	0.74%	-0	19917	0.35%	-0	12565	0.22%	-0	8518	0.15%	-0	7149	0.13%	-0	262224	4.59%	5708350	OH
Oklahoma	7	502496	34.35%	-0	960165	65.65%	7	0	0.00%	-0	0	0.00%	-0	0	0.00%	-0	0	0.00%	-0	0	0.00%	-0	-457669	-31.29%	1462661	OK
Oregon	7	1037291	56.75%	7	738475	40.40%	-0	18614	1.02%	-0	7635	0.42%	-0	7693	0.42%	-0	4543	0.25%	-0	13613	0.74%	-0	298816	16.35%	1827864	OR
Pennsylvania	21	3276363	54.49%	21	2655885	44.17%	-0	42977	0.71%	-0	19912	0.33%	-0	1092	0.02%	-0	0	0.00%	-0	17043	0.28%	-0	620478	10.32%	6013272	PA
Rhode Island	4	296571	62.86%	4	165391	35.06%	-0	4829	1.02%	-0	1382	0.29%	-0	675	0.14%	-0	797	0.17%	-0	2121	0.45%	-0	131180	27.81%	471766	RI
South Carolina	8	862449	44.90%	-0	1034896	53.87%	8	5053	0.26%	-0	7283	0.38%	-0	6827	0.36%	-0	4461	0.23%	-0	0	0.00%	-0	-172447	-8.98%	1920969	SC
South Dakota	3	170924	44.75%	-0	203054	53.16%	3	4267	1.12%	-0	1835	0.48%	-0	1895	0.50%	-0	0	0.00%	-0	0	0.00%	-0	-32130	-8.41%	381975	SD
Tennessee	11	1087437	41.83%	-0	1479178	56.90%	11	11560	0.44%	-0	8547	0.33%	-0	8191	0.32%	-0	2499	0.10%	-0	2337	0.09%	-0	-391741	-15.07%	2599749	TN
Texas	34	3528633	43.68%	-0	4479328	55.45%	34	5751	0.07%	-0	56116	0.69%	-0	5708	0.07%	-0	909	0.01%	-0	1350	0.02%	-0	-950695	-11.77%	8077795	TX
Utah	5	327670	34.41%	-0	596030	62.58%	5	8416	0.88%	-0	6966	0.73%	-0	12012	1.26%	-0	982	0.10%	-0	294	0.03%	-0	-268360	-28.18%	952370	UT
Vermont	3	219262	67.46%	3	98974	30.45%	-0	3339	1.03%	-0	1067	0.33%	-0	500	0.15%	-0	66	0.02%	-0	1838	0.57%	-0	120288	37.01%	325046	VT
Virginia	13	1959532	52.63%	13	1725005	46.33%	-0	11483	0.31%	-0	11067	0.30%	-0	7474	0.20%	-0	2344	0.06%	-0	6355	0.17%	-0	234527	6.30%	3723260	VA
Washington	11	1750848	57.65%	11	1229216	40.48%	-0	29489	0.97%	-0	12728	0.42%	-0	9432	0.31%	-0	3819	0.13%	-0	1346	0.04%	-0	521632	17.18%	3036878	WA
West Virginia	5	303857	42.59%	-0	397466	55.71%	5	7219	1.01%	-0	0	0.00%	-0	2465	0.35%	-0	2355	0.33%	-0	89	0.01%	-0	-93609	-13.12%	713451	WV
Wisconsin	10	1677211	56.22%	10	1262393	42.31%	-0	17605	0.59%	-0	8858	0.30%	-0	5072	0.17%	-0	4216	0.14%	-0	8062	0.27%	-0	414818	13.90%	2983417	WI
Wyoming	3	82868	32.54%	-0	164958	64.78%	3	2525	0.99%	-0	1594	0.63%	-0	1192	0.47%	-0	0	0.00%	-0	1521	0.60%	-0	-82090	-32.24%	254658	WY
U.S. Total	538	69498516	52.93%	365	59948323	45.65%	173	739034	0.56%	-0	523715	0.40%	-0	199750	0.15%	-0	161797	0.12%	-0	242685	0.18%	-0	9550193	7.27%	131313820	US
