Rhode Island	5	107,463	63.97	5	55,062	32.78	-	4,351	2.59	-	-	-	-	510	0.30	-	-	-	-	495	0.29	-	52,401	31.19	167,981	RI
South Carolina	9	2,610	3.91	-	64,170	96.05	9	28	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-61,560	-92.14	66,808	SC
South Dakota	5	110,692	60.74	5	35,938	19.72	-	-	-	-	34,707	19.04	-	900	0.49	-	-	-	-	-	-	-	74,754	41.02	182,237	SD
Tennessee	12	219,829	51.29	12	206,558	48.19	-	2,239	0.52	-	-	-	-	-	-	-	-	-	-	-	-	-	13,271	3.10	428,626	TN
Texas	20	114,538	23.54	-	288,767	59.34	20	8,121	1.67	-	-	-	-	-	-	-	47,968	9.86	-	-	-	-	-174,229	-35.80	486,641	TX
Utah	4	81,555	55.93	4	56,639	38.84	-	3,159	2.17	-	4,475	3.07	-	-	-	-	-	-	-	-	-	-	24,916	17.09	145,828	UT
Vermont	4	68,212	75.82	4	20,919	23.25	-	-	-	-	-	-	-	774	0.86	-	-	-	-	-	-	-	47,293	52.57	89,961	VT
Virginia	12	87,456	37.85	-	141,670	61.32	12	807	0.35	-	243	0.11	-	857	0.37	-	-	-	-	-	-	-	-54,214	-23.47	231,033	VA
Washington	7	223,137	55.96	7	84,298	21.14	-	8,913	2.24	-	77,246	19.37	-	3,800	0.95	-	-	-	-	1,321	0.33	-	138,839	34.82	398,715	WA
West Virginia	8	282,007	55.30	8	220,789	43.30	-	5,618	1.10	-	-	-	-	1,528	0.30	-	-	-	-	-	-	-	61,218	12.00	509,942	WV
Wisconsin	13	498,576	71.10	13	113,422	16.17	-	80,635	11.50	-	-	-	-	8,647	1.23	-	-	-	-	-	-	-	385,154	54.92	701,280	WI
Wyoming	3	35,091	64.15	3	17,429	31.86	-	-	-	-	2,180	3.99	-	-	-	-	-	-	-	-	-	-	17,662	32.29	54,700	WY
TOTALS:	531	16,144,093	60.32	404	9,139,661	34.15	127	913,693	3.41	-	265,398	0.99	-	188,787	0.71	-	47,968	0.18	-	31,084	0.12	-	7,004,432	26.17	26,765,180	US
