North Carolina	14	527,399	66.71	14	263,155	33.29	-	-	-	-	-	-	-	-	-	-	264,244	33.43	790,554	NC
North Dakota	4	100,144	45.48	-	118,535	53.84	4	-	-	-	943	0.43	-	549	0.25	-	-18,391	-8.35	220,171	ND
Ohio	25	1,570,763	49.82	-	1,582,293	50.18	25	-	-	-	-	-	-	-	-	-	-11,530	-0.37	3,153,056	OH
Oklahoma	10	401,549	55.57	10	319,424	44.20	-	-	-	-	-	-	-	1,663	0.23	-	82,125	11.36	722,636	OK
Oregon	6	248,635	51.78	6	225,365	46.94	-	-	-	-	3,785	0.79	-	2,362	0.49	-	23,270	4.85	480,147	OR
Pennsylvania	35	1,940,479	51.14	35	1,835,054	48.36	-	-	-	-	11,721	0.31	-	7,539	0.20	-	105,425	2.78	3,794,793	PA
Rhode Island	4	175,356	58.59	4	123,487	41.26	-	-	-	-	-	-	-	433	0.14	-	51,869	17.33	299,276	RI
South Carolina	8	90,601	87.64	8	4,610	4.46	-	7,799	7.54	-	-	-	-	365	0.35	-	82,802	80.10	103,375	SC
South Dakota	4	96,711	41.67	-	135,365	58.33	4	-	-	-	-	-	-	-	-	-	-38,654	-16.66	232,076	SD
Tennessee	12	308,707	60.45	12	200,311	39.22	-	-	-	-	792	0.16	-	882	0.17	-	108,396	21.23	510,692	TN
Texas	23	821,605	71.42	23	191,425	16.64	-	135,439	11.77	-	594	0.05	-	1,268	0.11	-	630,180	54.78	1,150,331	TX
Utah	4	150,088	60.44	4	97,891	39.42	-	-	-	-	340	0.14	-	-	-	-	52,197	21.02	248,319	UT
Vermont	3	53,820	42.93	-	71,527	57.06	3	-	-	-	-	-	-	14	0.01	-	-17,707	-14.12	125,361	VT
Virginia	11	242,276	62.36	11	145,243	37.39	-	-	-	-	417	0.11	-	549	0.14	-	97,033	24.98	388,485	VA
Washington	8	486,774	56.84	8	361,689	42.24	-	-	-	-	3,824	0.45	-	4,041	0.47	-	125,085	14.61	856,328	WA
West Virginia	8	392,777	54.89	8	322,819	45.11	-	-	-	-	-	-	-	-	-	-	69,958	9.78	715,596	WV
Wisconsin	12	650,413	48.57	-	674,532	50.37	12	-	-	-	13,205	0.99	-	1,002	0.07	-	-24,119	-1.80	1,339,152	WI
Wyoming	3	49,419	48.77	-	51,921	51.23	3	-	-	-	-	-	-	-	-	-	-2,502	-2.47	101,340	WY
Totals:	531	25,612,916	53.39	432	22,017,929	45.89	99	143,238	0.30	-	79,017	0.16	-	123,963	0.26	-	3,594,987	7.49	47,977,063	US
