Louisiana	8	87,926	76.53	8	26,963	23.47	-	-	-	-	-	-	-	-	-	-	60,963	53.06	114,889	LA
Maine	6	48,049	41.26	-	62,936	54.05	6	2,396	2.06	-	3,066	2.63	-	-	-	-	-14,887	-12.78	116,451	ME
Maryland	8	113,866	53.39	8	92,736	43.48	-	796	0.37	-	5,877	2.76	-	-	-	-	21,130	9.91	213,275	MD
Massachusetts	15	176,813	45.22	-	202,814	51.87	15	3,210	0.82	-	7,539	1.93	-	649	0.17	-	-26,001	-6.65	391,028	MA
Michigan	14	201,624	43.26	5	222,708	47.79	9	19,931	4.28	-	20,857	4.48	-	-	-	-	-21,084	-4.52	466,045	MI
Minnesota	9	100,920	37.76	-	122,823	45.96	9	29,313	10.97	-	14,182	5.31	-	-	-	-	-21,903	-8.20	267,238	MN
Mississippi	9	40,030	76.22	9	1,398	2.66	-	10,118	19.27	-	973	1.85	-	-	-	-	29,912	56.95	52,519	MS
Missouri	17	268,400	49.56	17	227,646	42.03	-	41,204	7.61	-	4,333	0.80	-	-	-	-	40,754	7.52	541,583	MO
Montana	3	17,690	39.79	-	18,871	42.44	3	7,338	16.50	-	562	1.26	-	-	-	-	-1,181	-2.66	44,461	MT
Nebraska	8	24,943	12.46	-	87,213	43.56	8	83,134	41.53	-	4,902	2.45	-	-	-	-	-4,079	-2.04	200,192	NE
Nevada	3	714	6.56	-	2,811	25.84	-	7,264	66.78	3	89	0.82	-	-	-	-	-4,453	-40.94	10,878	NV
New Hampshire	4	42,081	47.11	-	45,658	51.11	4	293	0.33	-	1,297	1.45	-	-	-	-	-3,577	-4.00	89,329	NH
New Jersey	10	171,066	50.67	10	156,101	46.24	-	985	0.29	-	8,134	2.41	-	1,337	0.40	-	14,965	4.43	337,623	NJ
New York	36	654,868	48.99	36	609,350	45.58	-	16,429	1.23	-	38,190	2.86	-	17,956	1.34	-	45,518	3.41	1,336,793	NY
North Carolina	11	132,951	47.44	11	100,346	35.80	-	44,336	15.82	-	2,637	0.94	-	-	-	-	32,605	11.63	280,270	NC
North Dakota	3	0	0.00	1	17,519	48.50	1	17,700	49.01	1	899	2.49	-	-	-	-	-181	-0.50	36,118	ND
Ohio	23	404,115	47.53	1	405,187	47.66	22	14,850	1.75	-	26,012	3.06	-	-	-	-	-1,072	-0.13	850,164	OH
Oregon	4	14,243	18.15	-	35,002	44.59	3	26,965	34.35	1	2,281	2.91	-	-	-	-	-8,037	-10.24	78,491	OR
Pennsylvania	32	452,264	45.09	-	516,011	51.45	32	8,714	0.87	-	25,123	2.50	-	898	0.09	-	-63,747	-6.36	1,003,010	PA
Rhode Island	4	24,336	45.75	-	26,975	50.71	4	228	0.43	-	1,654	3.11	-	-	-	-	-2,639	-4.96	53,196	RI
South Carolina	9	54,680	77.56	9	13,345	18.93	-	2,407	3.41	-	-	-	-	-	-	-	41,335	58.63	70,504	SC
South Dakota	4	9,081	12.88	-	34,888	49.48	4	26,544	37.64	-	-	-	-	-	-	-	-8,344	-11.83	70,513	SD
Tennessee	12	136,468	51.36	12	100,537	37.83	-	23,918	9.00	-	4,809	1.81	-	-	-	-	35,931	13.52	265,732	TN
Texas	15	239,148	56.65	15	81,144	19.22	-	99,688	23.61	-	2,165	0.51	-	-	-	-	139,460	33.04	422,145	TX
Vermont	4	16,325	29.26	-	37,992	68.09	4	44	0.08	-	1,424	2.55	-	-	-	-	-21,667	-38.83	55,796	VT
Virginia	12	164,136	56.17	12	113,098	38.70	-	12,275	4.20	-	2,729	0.93	-	-	-	-	51,038	17.46	292,238	VA
Washington	4	29,802	33.88	-	36,460	41.45	4	19,165	21.79	-	2,542	2.89	-	-	-	-	-6,658	-7.57	87,969	WA
West Virginia	6	84,467	49.37	6	80,292	46.93	-	4,167	2.44	-	2,153	1.26	-	-	-	-	4,175	2.44	171,079	WV
Wisconsin	12	177,325	47.72	12	171,101	46.05	-	10,019	2.70	-	13,136	3.54	-	-	-	-	6,224	1.68	371,581	WI
Wyoming	3	-	-	-	8,454	50.52	3	7,722	46.14	-	530	3.17	-	-	-	-	-732	-4.37	16,735	WY
TOTALS:	444	5,553,898	46.02	277	5,190,799	43.01	145	1,026,595	8.51	22	270,889	2.24	-	21,173	0.18	-	363,099	3.01	12,068,027	US
