James Garfield	Republican
Winfield Hancock	Democratic
James Weaver	Greenback
Neal Dow	Prohibition
John Phelps	Anti-Masonic
Margin
State Total
Alabama 	10 	56,221 	36.98 	– 	91,185 	59.97 	10 	4,642 	3.05 	– 	– 	– 	– 	– 	– 	– 	−34,964 	−22.99 	152,048 	AL
Pennsylvania 	29 	444,704 	50.84 	29 	407,428 	46.57 	– 	20,668 	2.36 	– 	1,939 	0.22 	– 	44 	0.01 	– 	37,276 	4.26 	874,783 	PA
Rhode Island 	4 	18,195 	62.24 	4 	10,779 	36.87 	– 	236 	0.81 	– 	20 	0.07 	– 	– 	– 	– 	7,416 	25.37 	29,235 	RI
South Carolina 	7 	58,071 	33.97 	– 	112,312 	65.70 	7 	566 	0.33 	– 	– 	– 	– 	– 	– 	– 	−54,241 	−31.73 	170,949 	SC
Tennessee 	12 	107,677 	44.53 	– 	129,191 	53.01 	12 	5,917 	2.45 	– 	43 	0.02 	– 	– 	– 	– 	−21,514 	−8.48 	242,828 	TN
Texas 	8 	57,893 	23.95 	– 	156,428 	64.71 	8 	27,405 	11.34 	– 	– 	– 	– 	– 	– 	– 	−98,535 	−40.76 	241,726 	TX
Vermont 	5 	45,567 	69.88 	5 	18,316 	28.09 	– 	1,215 	1.86 	– 	– 	– 	– 	105 	0.16 	– 	27,251 	41.79 	65,203 	VT
Virginia 	11 	83,533 	39.47 	– 	128,083 	60.53 	11 	– 	– 	– 	– 	– 	– 	– 	– 	– 	−44,550 	−21.05 	211,616 	VA
West Virginia 	5 	46,243 	41.03 	– 	57,391 	50.92 	5 	9,079 	8.05 	– 	– 	– 	– 	– 	– 	– 	−11,148 	−9.89 	112,713 	WV
Wisconsin 	10 	144,400 	54.04 	10 	114,649 	42.91 	– 	7,986 	2.99 	– 	69 	0.03 	– 	91 	0.03 	– 	29,751 	11.14 	267,195 	WI
TOTALS: 	369 	4,454,433 	48.32 	214 	4,444,976 	48.21 	155 	308,649 	3.35 	– 	10,364 	0.11 	– 	1,045 	0.01 	– 	9,457 	0.11 	9,219,477 	US 
