Samuel J. Tilden	Democratic
Rutherford B. Hayes	Republican
Peter Cooper	Greenback
Green Smith	Prohibition
Margin
State Total
Alabama 	10 	102,989 	59.98 	10 	68,708 	40.02 	– 	– 	– 	– 	– 	– 	– 	−34,281 	−19.97 	171,699 	AL
New York 	35 	521,949 	51.40 	35 	489,207 	48.17 	– 	1,978 	0.19 	– 	2,369 	0.23 	– 	−32,742 	−3.22 	1,015,503 	NY
North Carolina 	10 	125,427 	53.62 	10 	108,484 	46.38 	– 	– 	– 	– 	– 	– 	– 	−16,943 	−7.24 	233,911 	NC
Ohio 	22 	323,182 	49.07 	– 	330,698 	50.21 	22 	3,057 	0.46 	– 	1,636 	0.25 	– 	7,516 	1.14 	658,649 	OH
Oregon 	3 	14,157 	47.38 	– 	15,214 	50.92 	3 	510 	1.71 	– 	– 	– 	– 	1,057 	3.54 	29,881 	OR
Pennsylvania 	29 	366,204 	48.25 	– 	384,184 	50.62 	29 	7,204 	0.95 	– 	1,318 	0.17 	– 	17,980 	2.37 	758,993 	PA
Rhode Island 	4 	10,712 	40.23 	– 	15,787 	59.29 	4 	68 	0.26 	– 	60 	0.23 	– 	5,075 	19.06 	26,627 	RI
South Carolina 	7 	90,897 	49.76 	– 	91,786 	50.24 	7 	– 	– 	– 	– 	– 	– 	889 	0.49 	182,683 	SC
Tennessee 	12 	133,177 	59.79 	12 	89,566 	40.21 	– 	– 	– 	– 	– 	– 	– 	−43,611 	−19.58 	222,743 	TN
Texas 	8 	104,755 	70.04 	8 	44,800 	29.96 	– 	– 	– 	– 	– 	– 	– 	−59,955 	−40.09 	149,555 	TX
Vermont 	5 	20,254 	31.38 	– 	44,091 	68.30 	5 	– 	– 	– 	– 	– 	– 	23,837 	36.93 	64,553 	VT
Virginia 	11 	140,770 	59.58 	11 	95,518 	40.42 	– 	– 	– 	– 	– 	– 	– 	−45,252 	−19.15 	236,288 	VA
West Virginia 	5 	56,546 	56.75 	5 	41,997 	42.15 	– 	1,104 	1.11 	– 	– 	– 	– 	−14,549 	−14.60 	99,647 	WV
Wisconsin 	10 	123,926 	48.19 	– 	130,067 	50.57 	10 	1,509 	0.59 	– 	27 	0.01 	– 	6,141 	2.39 	257,177 	WI
TOTALS: 	369 	4,286,808 	50.92 	184 	4,034,142 	47.92 	185 	83,726 	0.99 	– 	6,945 	0.08 	– 	-252,666 	-3.00 	8,418,659 	US
